"","age_group","year","country","sex","pathogen","Country.Name","n_inage_gdr","lowage","total","incidence"
"1","(-1,4]",2015,"AT","f","Acinetobacter spp","Austria",196609.767683258,0,1,0.508621729115219
"2","(-1,4]",2015,"AT","f","Enterococcus faecium","Austria",196609.767683258,0,1,0.508621729115219
"3","(-1,4]",2015,"AT","f","Escherichia coli","Austria",196609.767683258,0,4,2.03448691646087
"4","(-1,4]",2015,"AT","f","Klebsiella pneumoniae","Austria",196609.767683258,0,4,2.03448691646087
"5","(-1,4]",2015,"AT","f","Pseudomonas aeruginosa","Austria",196609.767683258,0,2,1.01724345823044
"6","(-1,4]",2015,"AT","f","Staphylococcus aureus","Austria",196609.767683258,0,4,2.03448691646087
"7","(-1,4]",2015,"AT","f","Streptococcus pneumoniae","Austria",196609.767683258,0,4,2.03448691646087
"8","(-1,4]",2015,"AT","m","Acinetobacter spp","Austria",208719.38990038,0,1,0.479112170880381
"9","(-1,4]",2015,"AT","m","Enterococcus faecalis","Austria",208719.38990038,0,1,0.479112170880381
"10","(-1,4]",2015,"AT","m","Escherichia coli","Austria",208719.38990038,0,1,0.479112170880381
"11","(-1,4]",2015,"AT","m","Klebsiella pneumoniae","Austria",208719.38990038,0,1,0.479112170880381
"12","(-1,4]",2015,"AT","m","Pseudomonas aeruginosa","Austria",208719.38990038,0,1,0.479112170880381
"13","(-1,4]",2015,"AT","m","Staphylococcus aureus","Austria",208719.38990038,0,6,2.87467302528229
"14","(-1,4]",2015,"AT","m","Streptococcus pneumoniae","Austria",208719.38990038,0,5,2.39556085440191
"15","(-1,4]",2015,"BE","f","Enterococcus faecium","Belgium",314696.642309892,0,3,0.953299017739694
"16","(-1,4]",2015,"BE","f","Escherichia coli","Belgium",314696.642309892,0,54,17.1593823193145
"17","(-1,4]",2015,"BE","f","Klebsiella pneumoniae","Belgium",314696.642309892,0,3,0.953299017739694
"18","(-1,4]",2015,"BE","f","Pseudomonas aeruginosa","Belgium",314696.642309892,0,7,2.22436437472595
"19","(-1,4]",2015,"BE","f","Staphylococcus aureus","Belgium",314696.642309892,0,39,12.392887230616
"20","(-1,4]",2015,"BE","f","Streptococcus pneumoniae","Belgium",314696.642309892,0,147,46.711651869245
"21","(-1,4]",2015,"BE","m","Acinetobacter spp","Belgium",329469.587851903,0,9,2.73166335584379
"22","(-1,4]",2015,"BE","m","Enterococcus faecalis","Belgium",329469.587851903,0,16,4.85629041038896
"23","(-1,4]",2015,"BE","m","Enterococcus faecium","Belgium",329469.587851903,0,3,0.910554451947931
"24","(-1,4]",2015,"BE","m","Escherichia coli","Belgium",329469.587851903,0,20,6.0703630129862
"25","(-1,4]",2015,"BE","m","Pseudomonas aeruginosa","Belgium",329469.587851903,0,6,1.82110890389586
"26","(-1,4]",2015,"BE","m","Staphylococcus aureus","Belgium",329469.587851903,0,30,9.10554451947931
"27","(-1,4]",2015,"BE","m","Streptococcus pneumoniae","Belgium",329469.587851903,0,210,63.7388116363552
"28","(-1,4]",2015,"BG","f","Acinetobacter spp","Bulgaria",163696.019261085,0,3,1.83266521296109
"29","(-1,4]",2015,"BG","f","Enterococcus faecalis","Bulgaria",163696.019261085,0,3,1.83266521296109
"30","(-1,4]",2015,"BG","f","Escherichia coli","Bulgaria",163696.019261085,0,3,1.83266521296109
"31","(-1,4]",2015,"BG","f","Staphylococcus aureus","Bulgaria",163696.019261085,0,3,1.83266521296109
"32","(-1,4]",2015,"BG","f","Streptococcus pneumoniae","Bulgaria",163696.019261085,0,10,6.10888404320365
"33","(-1,4]",2015,"BG","m","Enterococcus faecium","Bulgaria",173113.510833356,0,3,1.73296699117141
"34","(-1,4]",2015,"BG","m","Klebsiella pneumoniae","Bulgaria",173113.510833356,0,3,1.73296699117141
"35","(-1,4]",2015,"CY","f","Acinetobacter spp","Cyprus",31956.9999981326,0,1,3.12920486922563
"36","(-1,4]",2015,"CY","f","Enterococcus faecium","Cyprus",31956.9999981326,0,1,3.12920486922563
"37","(-1,4]",2015,"CY","f","Klebsiella pneumoniae","Cyprus",31956.9999981326,0,1,3.12920486922563
"38","(-1,4]",2015,"CY","f","Pseudomonas aeruginosa","Cyprus",31956.9999981326,0,1,3.12920486922563
"39","(-1,4]",2015,"CY","f","Streptococcus pneumoniae","Cyprus",31956.9999981326,0,1,3.12920486922563
"40","(-1,4]",2015,"CZ","f","Escherichia coli","Czechia",266113.815119845,0,7,2.63045343844608
"41","(-1,4]",2015,"CZ","f","Klebsiella pneumoniae","Czechia",266113.815119845,0,3,1.12733718790546
"42","(-1,4]",2015,"CZ","f","Staphylococcus aureus","Czechia",266113.815119845,0,9,3.38201156371639
"43","(-1,4]",2015,"CZ","f","Streptococcus pneumoniae","Czechia",266113.815119845,0,3,1.12733718790546
"44","(-1,4]",2015,"CZ","m","Enterococcus faecalis","Czechia",281275.250127971,0,4,1.42209454908675
"45","(-1,4]",2015,"CZ","m","Enterococcus faecium","Czechia",281275.250127971,0,2,0.711047274543375
"46","(-1,4]",2015,"CZ","m","Escherichia coli","Czechia",281275.250127971,0,6,2.13314182363013
"47","(-1,4]",2015,"CZ","m","Klebsiella pneumoniae","Czechia",281275.250127971,0,3,1.06657091181506
"48","(-1,4]",2015,"CZ","m","Pseudomonas aeruginosa","Czechia",281275.250127971,0,4,1.42209454908675
"49","(-1,4]",2015,"CZ","m","Staphylococcus aureus","Czechia",281275.250127971,0,10,3.55523637271688
"50","(-1,4]",2015,"CZ","m","Streptococcus pneumoniae","Czechia",281275.250127971,0,11,3.91076000998856
"51","(-1,4]",2015,"DE","f","Acinetobacter spp","Germany",1698995.4531555,0,8,0.470866474959766
"52","(-1,4]",2015,"DE","f","Enterococcus faecalis","Germany",1698995.4531555,0,12,0.706299712439649
"53","(-1,4]",2015,"DE","f","Enterococcus faecium","Germany",1698995.4531555,0,4,0.235433237479883
"54","(-1,4]",2015,"DE","f","Escherichia coli","Germany",1698995.4531555,0,16,0.941732949919532
"55","(-1,4]",2015,"DE","f","Pseudomonas aeruginosa","Germany",1698995.4531555,0,8,0.470866474959766
"56","(-1,4]",2015,"DE","f","Staphylococcus aureus","Germany",1698995.4531555,0,12,0.706299712439649
"57","(-1,4]",2015,"DE","f","Streptococcus pneumoniae","Germany",1698995.4531555,0,16,0.941732949919532
"58","(-1,4]",2015,"DE","m","Acinetobacter spp","Germany",1789665.595228,0,20,1.11752721029719
"59","(-1,4]",2015,"DE","m","Enterococcus faecalis","Germany",1789665.595228,0,8,0.447010884118875
"60","(-1,4]",2015,"DE","m","Enterococcus faecium","Germany",1789665.595228,0,8,0.447010884118875
"61","(-1,4]",2015,"DE","m","Escherichia coli","Germany",1789665.595228,0,28,1.56453809441606
"62","(-1,4]",2015,"DE","m","Klebsiella pneumoniae","Germany",1789665.595228,0,12,0.670516326178313
"63","(-1,4]",2015,"DE","m","Staphylococcus aureus","Germany",1789665.595228,0,52,2.90557074677269
"64","(-1,4]",2015,"DE","m","Streptococcus pneumoniae","Germany",1789665.595228,0,28,1.56453809441606
"65","(-1,4]",2015,"DK","f","Enterococcus faecalis","Denmark",143546.373704662,0,2,1.3932779689126
"66","(-1,4]",2015,"DK","f","Escherichia coli","Denmark",143546.373704662,0,5,3.48319492228149
"67","(-1,4]",2015,"DK","f","Klebsiella pneumoniae","Denmark",143546.373704662,0,1,0.696638984456298
"68","(-1,4]",2015,"DK","f","Pseudomonas aeruginosa","Denmark",143546.373704662,0,2,1.3932779689126
"69","(-1,4]",2015,"DK","f","Staphylococcus aureus","Denmark",143546.373704662,0,1,0.696638984456298
"70","(-1,4]",2015,"DK","f","Streptococcus pneumoniae","Denmark",143546.373704662,0,6,4.17983390673779
"71","(-1,4]",2015,"DK","m","Enterococcus faecalis","Denmark",151260.275074552,0,2,1.32222422510752
"72","(-1,4]",2015,"DK","m","Escherichia coli","Denmark",151260.275074552,0,4,2.64444845021504
"73","(-1,4]",2015,"DK","m","Staphylococcus aureus","Denmark",151260.275074552,0,4,2.64444845021504
"74","(-1,4]",2015,"DK","m","Streptococcus pneumoniae","Denmark",151260.275074552,0,6,3.96667267532257
"75","(-1,4]",2015,"EE","f","Acinetobacter spp","Estonia",34625.0276145286,0,1,2.88808433926101
"76","(-1,4]",2015,"EE","f","Enterococcus faecalis","Estonia",34625.0276145286,0,1,2.88808433926101
"77","(-1,4]",2015,"EE","f","Streptococcus pneumoniae","Estonia",34625.0276145286,0,1,2.88808433926101
"78","(-1,4]",2015,"EE","m","Enterococcus faecalis","Estonia",36458.1332287708,0,2,5.4857443946738
"79","(-1,4]",2015,"EE","m","Escherichia coli","Estonia",36458.1332287708,0,3,8.2286165920107
"80","(-1,4]",2015,"EE","m","Klebsiella pneumoniae","Estonia",36458.1332287708,0,1,2.7428721973369
"81","(-1,4]",2015,"EE","m","Pseudomonas aeruginosa","Estonia",36458.1332287708,0,1,2.7428721973369
"82","(-1,4]",2015,"EE","m","Staphylococcus aureus","Estonia",36458.1332287708,0,1,2.7428721973369
"83","(-1,4]",2015,"EE","m","Streptococcus pneumoniae","Estonia",36458.1332287708,0,4,10.9714887893476
"84","(-1,4]",2015,"ES","f","Acinetobacter spp","Spain",1078465.94254725,0,12,1.11269160448934
"85","(-1,4]",2015,"ES","f","Enterococcus faecalis","Spain",1078465.94254725,0,6,0.556345802244668
"86","(-1,4]",2015,"ES","f","Enterococcus faecium","Spain",1078465.94254725,0,9,0.834518703367002
"87","(-1,4]",2015,"ES","f","Escherichia coli","Spain",1078465.94254725,0,37,3.43079911384212
"88","(-1,4]",2015,"ES","f","Klebsiella pneumoniae","Spain",1078465.94254725,0,6,0.556345802244668
"89","(-1,4]",2015,"ES","f","Pseudomonas aeruginosa","Spain",1078465.94254725,0,9,0.834518703367002
"90","(-1,4]",2015,"ES","f","Staphylococcus aureus","Spain",1078465.94254725,0,15,1.39086450561167
"91","(-1,4]",2015,"ES","f","Streptococcus pneumoniae","Spain",1078465.94254725,0,53,4.9143879198279
"92","(-1,4]",2015,"ES","m","Enterococcus faecalis","Spain",1147287.47761253,0,6,0.522972673988025
"93","(-1,4]",2015,"ES","m","Enterococcus faecium","Spain",1147287.47761253,0,3,0.261486336994012
"94","(-1,4]",2015,"ES","m","Escherichia coli","Spain",1147287.47761253,0,19,1.65608013429541
"95","(-1,4]",2015,"ES","m","Klebsiella pneumoniae","Spain",1147287.47761253,0,12,1.04594534797605
"96","(-1,4]",2015,"ES","m","Pseudomonas aeruginosa","Spain",1147287.47761253,0,34,2.96351181926547
"97","(-1,4]",2015,"ES","m","Staphylococcus aureus","Spain",1147287.47761253,0,59,5.14256462754891
"98","(-1,4]",2015,"ES","m","Streptococcus pneumoniae","Spain",1147287.47761253,0,73,6.36283420018764
"99","(-1,4]",2015,"FI","f","Enterococcus faecalis","Finland",146531.294430112,0,1,0.682448076289228
"100","(-1,4]",2015,"FI","f","Escherichia coli","Finland",146531.294430112,0,9,6.14203268660305
"101","(-1,4]",2015,"FI","f","Pseudomonas aeruginosa","Finland",146531.294430112,0,1,0.682448076289228
"102","(-1,4]",2015,"FI","f","Staphylococcus aureus","Finland",146531.294430112,0,6,4.09468845773536
"103","(-1,4]",2015,"FI","f","Streptococcus pneumoniae","Finland",146531.294430112,0,12,8.18937691547073
"104","(-1,4]",2015,"FI","m","Enterococcus faecalis","Finland",153613.228893836,0,2,1.30197120026832
"105","(-1,4]",2015,"FI","m","Escherichia coli","Finland",153613.228893836,0,1,0.650985600134162
"106","(-1,4]",2015,"FI","m","Staphylococcus aureus","Finland",153613.228893836,0,9,5.85887040120746
"107","(-1,4]",2015,"FI","m","Streptococcus pneumoniae","Finland",153613.228893836,0,5,3.25492800067081
"108","(-1,4]",2015,"FR","f","Acinetobacter spp","France",1963843.88049635,0,20,1.01841089297511
"109","(-1,4]",2015,"FR","f","Enterococcus faecalis","France",1963843.88049635,0,28,1.42577525016516
"110","(-1,4]",2015,"FR","f","Enterococcus faecium","France",1963843.88049635,0,8,0.407364357190046
"111","(-1,4]",2015,"FR","f","Escherichia coli","France",1963843.88049635,0,168,8.55465150099096
"112","(-1,4]",2015,"FR","f","Klebsiella pneumoniae","France",1963843.88049635,0,40,2.03682178595023
"113","(-1,4]",2015,"FR","f","Pseudomonas aeruginosa","France",1963843.88049635,0,8,0.407364357190046
"114","(-1,4]",2015,"FR","f","Staphylococcus aureus","France",1963843.88049635,0,124,6.31414753644571
"115","(-1,4]",2015,"FR","f","Streptococcus pneumoniae","France",1963843.88049635,0,108,5.49941882206562
"116","(-1,4]",2015,"FR","m","Acinetobacter spp","France",2055523.15383178,0,28,1.36218363426382
"117","(-1,4]",2015,"FR","m","Enterococcus faecalis","France",2055523.15383178,0,32,1.55678129630151
"118","(-1,4]",2015,"FR","m","Enterococcus faecium","France",2055523.15383178,0,8,0.389195324075377
"119","(-1,4]",2015,"FR","m","Escherichia coli","France",2055523.15383178,0,112,5.44873453705527
"120","(-1,4]",2015,"FR","m","Klebsiella pneumoniae","France",2055523.15383178,0,28,1.36218363426382
"121","(-1,4]",2015,"FR","m","Pseudomonas aeruginosa","France",2055523.15383178,0,24,1.16758597222613
"122","(-1,4]",2015,"FR","m","Staphylococcus aureus","France",2055523.15383178,0,172,8.3676994676206
"123","(-1,4]",2015,"FR","m","Streptococcus pneumoniae","France",2055523.15383178,0,212,10.3136760879975
"124","(-1,4]",2015,"HR","f","Enterococcus faecalis","Croatia",97766.2613097388,0,1,1.02284774584132
"125","(-1,4]",2015,"HR","f","Enterococcus faecium","Croatia",97766.2613097388,0,1,1.02284774584132
"126","(-1,4]",2015,"HR","f","Escherichia coli","Croatia",97766.2613097388,0,6,6.13708647504793
"127","(-1,4]",2015,"HR","f","Klebsiella pneumoniae","Croatia",97766.2613097388,0,5,5.11423872920661
"128","(-1,4]",2015,"HR","f","Pseudomonas aeruginosa","Croatia",97766.2613097388,0,1,1.02284774584132
"129","(-1,4]",2015,"HR","f","Staphylococcus aureus","Croatia",97766.2613097388,0,3,3.06854323752397
"130","(-1,4]",2015,"HR","f","Streptococcus pneumoniae","Croatia",97766.2613097388,0,8,8.18278196673058
"131","(-1,4]",2015,"HR","m","Acinetobacter spp","Croatia",104344.425026282,0,2,1.9167291395743
"132","(-1,4]",2015,"HR","m","Enterococcus faecalis","Croatia",104344.425026282,0,1,0.958364569787148
"133","(-1,4]",2015,"HR","m","Escherichia coli","Croatia",104344.425026282,0,1,0.958364569787148
"134","(-1,4]",2015,"HR","m","Klebsiella pneumoniae","Croatia",104344.425026282,0,4,3.83345827914859
"135","(-1,4]",2015,"HR","m","Pseudomonas aeruginosa","Croatia",104344.425026282,0,4,3.83345827914859
"136","(-1,4]",2015,"HR","m","Staphylococcus aureus","Croatia",104344.425026282,0,7,6.70855198851004
"137","(-1,4]",2015,"HR","m","Streptococcus pneumoniae","Croatia",104344.425026282,0,10,9.58364569787148
"138","(-1,4]",2015,"HU","f","Acinetobacter spp","Hungary",219227.983322402,0,2,0.912292294847574
"139","(-1,4]",2015,"HU","f","Enterococcus faecalis","Hungary",219227.983322402,0,5,2.28073073711893
"140","(-1,4]",2015,"HU","f","Escherichia coli","Hungary",219227.983322402,0,6,2.73687688454272
"141","(-1,4]",2015,"HU","f","Klebsiella pneumoniae","Hungary",219227.983322402,0,8,3.64916917939029
"142","(-1,4]",2015,"HU","f","Pseudomonas aeruginosa","Hungary",219227.983322402,0,3,1.36843844227136
"143","(-1,4]",2015,"HU","f","Staphylococcus aureus","Hungary",219227.983322402,0,8,3.64916917939029
"144","(-1,4]",2015,"HU","f","Streptococcus pneumoniae","Hungary",219227.983322402,0,2,0.912292294847574
"145","(-1,4]",2015,"HU","m","Acinetobacter spp","Hungary",230634.465169959,0,4,1.73434616420071
"146","(-1,4]",2015,"HU","m","Enterococcus faecalis","Hungary",230634.465169959,0,2,0.867173082100354
"147","(-1,4]",2015,"HU","m","Escherichia coli","Hungary",230634.465169959,0,3,1.30075962315053
"148","(-1,4]",2015,"HU","m","Klebsiella pneumoniae","Hungary",230634.465169959,0,2,0.867173082100354
"149","(-1,4]",2015,"HU","m","Pseudomonas aeruginosa","Hungary",230634.465169959,0,6,2.60151924630106
"150","(-1,4]",2015,"HU","m","Staphylococcus aureus","Hungary",230634.465169959,0,4,1.73434616420071
"151","(-1,4]",2015,"HU","m","Streptococcus pneumoniae","Hungary",230634.465169959,0,3,1.30075962315053
"152","(-1,4]",2015,"IE","f","Acinetobacter spp","Ireland",175056.252308158,0,4,2.28497979778446
"153","(-1,4]",2015,"IE","f","Enterococcus faecalis","Ireland",175056.252308158,0,5,2.85622474723057
"154","(-1,4]",2015,"IE","f","Enterococcus faecium","Ireland",175056.252308158,0,2,1.14248989889223
"155","(-1,4]",2015,"IE","f","Escherichia coli","Ireland",175056.252308158,0,7,3.9987146461228
