Sex,Age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122
Females,0 - 4,1746299,1727698,1703212,1671226,1636894,1588074,1546539,1505391,1468880,1439123,1415756,1397535,1384132,1374610,1366913,1360209,1354615,1350075,1346516,1343797,1341683,1339673,1337236,1334075,1329960,1324703,1317954,1309378,1298917,1286537,1272236,1256375,1239390,1221476,1202867,1183792,1164505,1145330,1126562,1108450,1091248,1075187,1060402,1046990,1034969,1024267,1014843,1006635,999476,993236,987766,982880,978413,974205,970071,965864,961445,956701,951545,945912,939758,933063,925830,918083,909876,901272,892348,883182,873873,864514,855203,846034,837094,828460,820200,812358,804973,798064,791643,785694,780196,775117,770411,766033,761927,758031,754284,750637,747030,743411,739740,735976,732100,728081,723915,719602,715142,710548,705837,701036,696168
Females,5 - 9,1911920,1900851,1890668,1873478,1839480,1814660,1776894,1737248,1693724,1651665,1599039,1557534,1516421,1479936,1450208,1426861,1408657,1395271,1385759,1378074,1371376,1365792,1361261,1357711,1354997,1352888,1350881,1348451,1345299,1341193,1335947,1329205,1320635,1310180,1297804,1283511,1267660,1250684,1232780,1214180,1195116,1175838,1156677,1137917,1119815,1102622,1086568,1071786,1058381,1046371,1035676,1026257,1018051,1010896,1004659,999194,994309,989847,985643,981513,977309,972896,968153,963003,957372,951219,944526,937293,929553,921350,912748,903826,894664,885353,875996,866689,857529,848593,839963,831704,823859,816475,809572,803151,797201,791707,786634,781933,777555,773448,769555,765810,762164,758558,754942,751269,747507,743631,739615,735452,731141
Females,10 - 14,2007427,2015061,2014554,2006380,1994187,1969391,1944018,1922497,1896509,1856436,1828468,1790727,1751098,1707594,1665551,1612945,1571458,1530368,1493899,1464184,1440844,1422647,1409271,1399765,1392090,1385399,1379816,1375285,1371743,1369035,1366931,1364929,1362503,1359353,1355250,1350008,1343270,1334701,1324251,1311880,1297595,1281748,1264776,1246877,1228284,1209227,1189958,1170804,1152053,1133953,1116763,1100718,1085941,1072542,1060536,1049841,1040424,1032219,1025064,1018833,1013370,1008485,1004027,999827,995700,991501,987090,982353,977204,971574,965420,958726,951493,943750,935548,926949,918031,908874,899565,890213,880913,871754,862819,854187,845929,838087,830704,823799,817379,811432,805939,800868,796166,791790,787682,783787,780041,776394,772790,769178,765504
Females,15 - 19,1894458,1957124,1998224,2035695,2070172,2093405,2086142,2075458,2060171,2043337,2016231,1990885,1969393,1943433,1903393,1875457,1837747,1798145,1754676,1712662,1660094,1618631,1577563,1541121,1511424,1488108,1469933,1456569,1447072,1439411,1432729,1427159,1422636,1419109,1416406,1414308,1412310,1409892,1406749,1402657,1397421,1390692,1382133,1371695,1359335,1345056,1329218,1312256,1294370,1275786,1256740,1237478,1218336,1199590,1181497,1164317,1148284,1133514,1120127,1108129,1097442,1088034,1079833,1072682,1066453,1060995,1056118,1051668,1047474,1043351,1039155,1034745,1030009,1024863,1019237,1013089,1006397,999170,991433,983239,974648,965730,956574,947272,937923,928626,919468,910535,901913,893658,885818,878436,871533,865116,859172,853682,848613,843913,839535,835426,831535
Females,20 - 24,2008554,2063764,2103588,2132324,2149540,2157960,2167827,2172116,2185735,2206336,2223480,2216260,2205617,2190375,2173587,2146532,2121237,2099793,2073873,2033891,2006005,1968349,1928800,1885383,1843417,1790902,1749486,1708468,1672067,1642410,1619122,1600973,1587636,1578158,1570521,1563865,1558312,1553806,1550288,1547597,1545512,1543530,1541127,1538000,1533917,1528698,1521980,1513441,1503016,1490676,1476415,1460599,1443654,1425787,1407222,1388187,1368939,1349812,1331082,1313003,1295842,1279824,1265073,1251696,1239707,1229031,1219626,1211433,1204291,1198074,1192628,1187758,1183313,1179126,1175012,1170821,1166422,1161695,1156557,1150942,1144802,1138123,1130908,1123184,1114997,1106413,1097504,1088359,1079056,1069715,1060425,1051276,1042351,1033738,1025488,1017650,1010276,1003379,996965,991025,985537
Females,25 - 29,2208304,2258868,2290811,2308330,2308224,2279334,2240479,2205803,2178292,2158647,2149279,2159164,2163481,2177118,2197727,2214888,2207709,2197113,2181922,2165183,2138188,2112952,2091562,2065698,2025787,1997958,1960369,1920879,1877520,1835610,1783166,1741806,1700841,1664493,1634880,1611631,1593522,1580220,1570770,1563156,1556524,1550988,1546502,1543002,1540331,1538265,1536299,1533906,1530795,1526733,1521528,1514826,1506307,1495906,1483587,1469353,1453562,1436637,1418790,1400249,1381233,1362000,1342896,1324188,1306131,1288985,1272983,1258246,1244887,1232911,1222245,1212853,1204674,1197543,1191335,1185898,1181036,1176602,1172423,1168317,1164142,1159753,1155038,1149911,1144306,1138175,1131505,1124299,1116585,1108407,1099832,1090934,1081795,1072501,1063172,1053897,1044759,1035842,1027236,1018994,1011168
Females,30 - 34,2408960,2440112,2469935,2477139,2467734,2461197,2446558,2426433,2403355,2375132,2331640,2292883,2258302,2230875,2211308,2201998,2211920,2216275,2229935,2250559,2267739,2260616,2250076,2234953,2218288,2191379,2166215,2144890,2119101,2079275,2051520,2014018,1974616,1931343,1889517,1837162,1795881,1754994,1718711,1689159,1665965,1647902,1634641,1625224,1617639,1611040,1605538,1601084,1597607,1594957,1592909,1590973,1588610,1585523,1581483,1576301,1569624,1561135,1550759,1538469,1524263,1508505,1491608,1473792,1455275,1436290,1417085,1398007,1379323,1361294,1344172,1328196,1313483,1300148,1288189,1277545,1268171,1260007,1252887,1246692,1241271,1236425,1232001,1227835,1223744,1219581,1215207,1210501,1205387,1199797,1193678,1187021,1179828,1172124,1163958,1155398,1146509,1137385,1128106,1118785,1109519
Females,35 - 39,2338857,2405637,2462080,2503406,2539899,2560786,2551505,2548709,2530235,2502878,2486935,2472406,2452400,2429430,2401327,2357996,2319392,2284970,2257690,2238238,2229021,2239003,2243422,2257123,2277771,2294985,2287944,2277494,2262465,2245902,2219113,2194060,2172833,2147152,2107460,2079818,2042436,2003157,1960006,1918297,1866084,1824916,1784140,1747963,1718498,1695381,1677386,1664184,1654818,1647280,1640720,1635260,1630847,1627412,1624804,1622794,1620891,1618559,1615506,1611502,1606360,1599718,1591267,1580930,1568690,1554524,1538806,1521954,1504186,1485709,1466768,1447610,1428575,1409932,1391939,1374855,1358917,1344233,1330932,1319004,1308387,1299038,1290896,1283800,1277626,1272224,1267397,1262996,1258848,1254775,1250627,1246271,1241584,1236489,1230915,1224814,1218175,1210995,1203306,1195162,1186620
Females,40 - 44,2218367,2287110,2322342,2351034,2379493,2417256,2460323,2497692,2524054,2550052,2565471,2556393,2553759,2535495,2508387,2492652,2478301,2458488,2435702,2407793,2364732,2326369,2292192,2265130,2245863,2236799,2246876,2251401,2265167,2285857,2303120,2296202,2285878,2270989,2254581,2227972,2203082,2182006,2156488,2116993,2089511,2052306,2013206,1970245,1928717,1876701,1835702,1795090,1759064,1729724,1706721,1688826,1675708,1666418,1658948,1652459,1647064,1642717,1639341,1636785,1634828,1632979,1630698,1627701,1623747,1618659,1612077,1603683,1593407,1581229,1567124,1551471,1534684,1516978,1498569,1479696,1460603,1441628,1423049,1405117,1388083,1372200,1357568,1344312,1332427,1321853,1312540,1304436,1297375,1291235,1285863,1281069,1276698,1272578,1268528,1264407,1260076,1255421,1250355,1244806,1238725
Females,45 - 49,2083316,2061202,2086032,2135640,2192817,2253131,2307336,2331084,2350859,2373129,2407626,2450687,2488070,2514542,2540641,2556204,2547420,2545028,2527087,2500354,2484929,2470855,2451348,2428844,2401245,2358587,2320597,2286792,2260062,2241070,2232237,2242455,2247134,2260997,2281754,2299090,2292356,2282215,2267535,2251345,2225004,2200361,2179501,2154218,2115012,2087772,2050828,2011992,1969303,1928031,1876315,1835562,1795194,1759384,1730241,1707410,1689663,1676670,1667493,1660128,1653740,1648442,1644184,1640889,1638419,1636543,1634768,1632564,1629641,1625762,1620763,1614264,1605957,1595769,1583682,1569672,1554113,1537421,1519813,1501507,1482732,1463728,1444843,1426354,1408507,1391556,1375752,1361195,1348010,1336189,1325676,1316417,1308369,1301357,1295268,1289946,1285194,1280864,1276787,1272777,1268699
