Sex,Age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122
Females,0 - 4,1746299,1727698,1708337,1693404,1687390,1676136,1679685,1684070,1686984,1688968,1690556,1692230,1694303,1696911,1700158,1704191,1708982,1714335,1720076,1726004,1731845,1737100,1741274,1744167,1745684,1745783,1744180,1740626,1735194,1727977,1719114,1709160,1698771,1688312,1678180,1668697,1660132,1652728,1646590,1641681,1637941,1635293,1633616,1632834,1632841,1633482,1634676,1636332,1638250,1640293,1642335,1644260,1645976,1647403,1648439,1649015,1649083,1648606,1647549,1645906,1643690,1640933,1637695,1634051,1630101,1625951,1621707,1617482,1613378,1609478,1605872,1602618,1599758,1597325,1595324,1593754,1592585,1591792,1591329,1591145,1591184,1591383,1591679,1592015,1592333,1592578,1592719,1592707,1592512,1592114,1591493,1590642,1589568,1588278,1586792,1585133,1583329,1581412,1579418,1577386,1575353
Females,5 - 9,1911920,1900851,1890668,1874728,1843326,1822506,1790177,1761194,1738917,1727948,1714251,1717811,1722212,1725139,1727140,1728739,1730424,1732508,1735124,1738374,1742411,1747213,1752576,1758322,1764254,1770102,1775363,1779546,1782448,1783975,1784078,1782482,1778934,1773512,1766304,1757448,1747500,1737119,1726666,1716540,1707065,1698505,1691104,1684973,1680069,1676338,1673698,1672025,1671245,1671257,1671900,1673098,1674757,1676684,1678730,1680775,1682701,1684419,1685852,1686895,1687474,1687546,1687074,1686021,1684377,1682162,1679406,1676173,1672536,1668593,1664443,1660205,1655983,1651884,1647992,1644394,1641145,1638292,1635857,1633860,1632293,1631129,1630339,1629879,1629700,1629744,1629944,1630240,1630581,1630901,1631153,1631297,1631287,1631093,1630698,1630077,1629228,1628156,1626874,1625389,1623731
Females,10 - 14,2007427,2015061,2014554,2007207,1996740,1974634,1953028,1935588,1914047,1878792,1855990,1823679,1794714,1772450,1761486,1747799,1751364,1755775,1758706,1760712,1762317,1764004,1766091,1768716,1771973,1776017,1780821,1786186,1791937,1797871,1803720,1808984,1813172,1816075,1817606,1817718,1816129,1812583,1807167,1799962,1791108,1781167,1770795,1760345,1750222,1740753,1732197,1724801,1718676,1713773,1710044,1707401,1705732,1704953,1704964,1705612,1706815,1708479,1710408,1712455,1714504,1716433,1718154,1719590,1720636,1721220,1721295,1720823,1719770,1718129,1715919,1713165,1709931,1706297,1702358,1698213,1693982,1689760,1685666,1681776,1678178,1674931,1672080,1669646,1667653,1666089,1664929,1664144,1663688,1663507,1663551,1663751,1664050,1664394,1664717,1664974,1665118,1665110,1664917,1664520,1663900
Females,15 - 19,1894458,1957124,1998224,2036949,2073585,2099753,2096198,2088750,2076607,2063045,2039418,2017838,2000423,1978905,1943682,1920907,1888625,1859680,1837438,1826487,1812824,1816400,1820813,1823755,1825768,1827381,1829077,1831166,1833794,1837055,1841106,1845916,1851288,1857047,1862990,1868844,1874113,1878306,1881216,1882752,1882875,1881288,1877747,1872341,1865150,1856303,1846371,1836013,1825569,1815459,1805999,1797454,1790063,1783942,1779050,1775328,1772693,1771033,1770264,1770285,1770938,1772144,1773811,1775741,1777792,1779845,1781779,1783502,1784944,1785994,1786582,1786660,1786196,1785149,1783517,1781308,1778561,1775331,1771702,1767768,1763628,1759400,1755188,1751099,1747212,1743618,1740375,1737528,1735100,1733113,1731553,1730397,1729613,1729158,1728979,1729027,1729232,1729534,1729881,1730204,1730465
Females,20 - 24,2008554,2063764,2103588,2137894,2164929,2186265,2211432,2227149,2249181,2276000,2297836,2294319,2286910,2274803,2261278,2237698,2216160,2198781,2177306,2142134,2119391,2087153,2058253,2036048,2025127,2011490,2015077,2019505,2022460,2024489,2026112,2027821,2029924,2032564,2035836,2039897,2044718,2050104,2055873,2061824,2067689,2072971,2077173,2080095,2081646,2081779,2080209,2076678,2071285,2064108,2055276,2045367,2035031,2024607,2014517,2005079,1996552,1989173,1983070,1978188,1974479,1971854,1970208,1969446,1969474,1970133,1971349,1973025,1974967,1977030,1979094,1981032,1982769,1984214,1985270,1985868,1985958,1985503,1984464,1982839,1980640,1977903,1974683,1971066,1967142,1963010,1958792,1954585,1950500,1946625,1943040,1939805,1936967,1934546,1932567,1931011,1929860,1929085,1928639,1928468,1928520
Females,25 - 29,2208304,2258868,2290811,2314463,2327463,2319074,2308040,2301693,2301108,2305237,2315490,2340655,2356385,2378420,2405241,2427085,2423606,2416235,2404166,2390682,2367156,2345666,2328329,2306900,2271787,2249092,2216915,2188069,2165912,2155027,2141426,2145029,2149473,2152443,2154492,2156134,2157854,2159974,2162629,2165917,2169994,2174833,2180231,2186012,2191978,2197857,2203154,2207377,2210312,2211876,2212027,2210467,2206959,2201589,2194440,2185636,2175750,2165441,2155047,2144979,2135557,2127053,2119693,2113609,2108748,2105058,2102447,2100813,2100062,2100100,2100773,2102004,2103693,2105646,2107719,2109794,2111742,2113488,2114943,2116012,2116619,2116719,2116278,2115251,2113636,2111457,2108730,2105523,2101918,2098005,2093887,2089678,2085485,2081416,2077553,2073979,2070753,2067923,2065512,2063546,2062002
Females,30 - 34,2408960,2440112,2469935,2480886,2479327,2485075,2487600,2486234,2483941,2479029,2461416,2450428,2444127,2443583,2447740,2458015,2483182,2498927,2520970,2547793,2569642,2566207,2558886,2546869,2533447,2509998,2488573,2471297,2449932,2414902,2392276,2360175,2331399,2309305,2298465,2284921,2288555,2293019,2296013,2298086,2299752,2301501,2303650,2306336,2309650,2313748,2318608,2324028,2329831,2335819,2341718,2347036,2351280,2354241,2355827,2356005,2354474,2350993,2345652,2338530,2329762,2319905,2309632,2299269,2289231,2279840,2271367,2264037,2257984,2253146,2249477,2246889,2245281,2244552,2244616,2245304,2246554,2248257,2250230,2252321,2254413,2256379,2258139,2259610,2260695,2261320,2261437,2261015,2260009,2258417,2256251,2253539,2250345,2246760,2242864,2238765,2234579,2230400,2226347,2222502,2218948
Females,35 - 39,2338857,2405637,2462080,2505650,2546879,2575286,2576642,2585643,2580221,2567222,2566979,2569560,2568260,2566017,2561161,2543642,2532735,2526516,2526037,2530249,2540566,2565738,2581516,2603572,2630393,2652251,2648888,2641630,2629702,2616375,2593037,2571719,2554532,2533264,2498363,2475836,2443843,2415178,2393180,2382414,2368951,2372622,2377126,2380155,2382268,2383975,2385769,2387961,2390691,2394042,2398180,2403073,2408524,2414356,2420378,2426308,2431659,2435935,2438937,2440567,2440780,2439294,2435856,2430558,2423488,2414772,2404964,2394736,2384421,2374438,2365095,2356669,2349379,2343366,2338566,2334935,2332384,2330811,2330115,2330209,2330927,2332203,2333935,2335936,2338054,2340171,2342165,2343948,2345445,2346556,2347204,2347352,2346961,2345980,2344416,2342277,2339593,2336432,2332877,2329006,2324936
Females,40 - 44,2218367,2287110,2322342,2352357,2383604,2425786,2475099,2519403,2553467,2588027,2612968,2614464,2623570,2618291,2605465,2605351,2608026,2606827,2604675,2599912,2582551,2571775,2565687,2565323,2569628,2580011,2605215,2621039,2643109,2669935,2691814,2688554,2681412,2669614,2656430,2633265,2612103,2595052,2573933,2539219,2516845,2485026,2456526,2434671,2424014,2410674,2414406,2418965,2422056,2424236,2426010,2427873,2430131,2432922,2436329,2440519,2445464,2450969,2456853,2462925,2468915,2474326,2478658,2481711,2483391,2483664,2482240,2478870,2473648,2466650,2458005,2448277,2438133,2427892,2417983,2408714,2400359,2393135,2387188,2382447,2378873,2376374,2374853,2374209,2374349,2375113,2376430,2378206,2380247,2382406,2384560,2386599,2388425,2389966,2391114,2391804,2391994,2391644,2390707,2389186,2387091
Females,45 - 49,2083316,2061202,2086032,2136467,2195380,2258424,2316448,2344366,2368727,2396048,2436119,2485362,2529608,2563702,2598272,2623267,2624971,2634209,2629141,2616574,2616655,2619483,2618452,2616443,2611832,2594719,2584147,2578270,2578077,2582519,2593012,2618259,2634154,2656255,2683086,2705000,2701900,2694929,2683323,2670351,2647439,2626516,2609675,2588782,2554355,2532213,2500648,2472388,2450757,2440270,2427113,2430935,2435587,2438774,2441053,2442926,2444890,2447245,2450125,2453625,2457899,2462930,2468520,2474488,2480639,2486704,2492190,2496601,2499734,2501501,2501867,2500541,2497271,2492161,2485278,2476750,2467137,2457110,2446989,2437196,2428035,2419786,2412665,2406810,2402159,2398676,2396264,2394820,2394247,2394457,2395293,2396674,2398521,2400625,2402850,2405069,2407165,2409053,2410655,2411870,2412628
Females,50 - 54,2341991,2308904,2258063,2212492,2147874,2093545,2065411,2085721,2132371,2188432,2249680,2307239,2335066,2359459,2386820,2426818,2475915,2520037,2554127,2588672,2613710,2615671,2625089,2620321,2608130,2608491,2611542,2610763,2608977,2604603,2587858,2577601,2572030,2572097,2576737,2587384,2612698,2628703,2650855,2677698,2699656,2696798,2690074,2678757,2666101,2643570,2622990,2606452,2585897,2551902,2530107,2498923,2471033,2449724,2439482,2426597,2430565,2435347,2438680,2441107,2443133,2445242,2447741,2450768,2454399,2458807,2463959,2469665,2475750,2482019,2488202,2493806,2498341,2501595,2503499,2504000,2502821,2499701,2494751,2488039,2479691,2470246,2460394,2450446,2440820,2431821,2423732,2416764,2411057,2406546,2403188,2400900,2399567,2399106,2399425,2400365,2401849,2403789,2405991,2408313,2410626
Females,55 - 59,2353167,2363717,2363368,2346568,2344053,2322604,2285741,2232792,2185777,2120888,2066929,2039629,2060061,2106444,2162010,2222577,2279507,2307229,2331672,2359065,2398915,2447761,2491644,2525669,2560120,2585183,2587489,2597147,2592800,2581140,2581906,2585281,2584875,2583407,2579383,2563178,2553374,2548243,2548677,2553605,2564473,2589865,2606032,2628249,2655109,2677132,2674615,2668247,2657342,2645138,2623153,2603084,2586993,2566924,2533545,2512252,2481623,2454266,2433429,2423536,2411043,2415218,2420196,2423735,2426375,2428619,2430943,2433650,2436878,2440706,2445299,2450634,2456517,2462778,2469214,2475564,2481339,2486051,2489488,2491581,2492279,2491310,2488411,2483691,2477222,2469120,2459929,2450330,2440633,2431255,2422499,2414643,2407898,2402394,2398080,2394915,2392798,2391641,2391341,2391817,2392906
Females,60 - 64,2076554,2136039,2196037,2252246,2289515,2309876,2317388,2315111,2297257,2293941,2272683,2237012,2185673,2140158,2077321,2025145,1999044,2019668,2065686,2120582,2180234,2236308,2263904,2288412,2315834,2355439,2403873,2447370,2481253,2515549,2540632,2543412,2553395,2549635,2538717,2540047,2543874,2543989,2542990,2539462,2524022,2514865,2510350,2511285,2516601,2527770,2553259,2569640,2591954,2618832,2640942,2638907,2633040,2622721,2611148,2589935,2570588,2555127,2535743,2503242,2482652,2452810,2426204,2406031,2396649,2384703,2389172,2394425,2398249,2401190,2403739,2406364,2409368,2412887,2416992,2421854,2427449,2433578,2440074,2446744,2453330,2459342,2464298,2467992,2470352,2471334,2470666,2468079,2463690,2457563,2449812,2440987,2431749,2422415,2413383,2404963,2397437,2391001,2385789,2381759,2378860
Females,65 - 69,1759130,1796599,1839245,1892263,1949287,2009498,2066183,2123617,2177532,2213382,2233223,2241046,2239449,2222794,2220264,2200338,2166467,2117475,2074116,2014169,1964485,1940046,1960935,2006447,2060435,2118831,2173740,2201158,2225744,2253163,2292390,2340224,2383171,2416844,2450904,2475998,2479418,2489833,2486870,2476974,2479062,2483504,2484332,2483971,2481126,2466736,2458468,2454788,2456399,2462248,2473826,2499433,2516105,2538538,2565430,2587650,2586266,2581095,2571582,2560888,2540741,2522372,2507778,2489340,2458047,2438439,2409690,2384123,2364877,2356189,2345010,2349876,2355510,2359734,2363085,2366057,2369092,2372507,2376422,2380911,2386133,2392071,2398543,2405372,2412370,2419278,2425614,2430908,2434956,2437693,2439072,2438821,2436676,2432742,2427089,2419829,2411505,2402768,2393936,2385390,2377447
Females,70 - 74,1673464,1634460,1622083,1617226,1631018,1660536,1696671,1737759,1788715,1843772,1902120,1957375,2013203,2065487,2100507,2120313,2128702,2128230,2113446,2112190,2094268,2063018,2017373,1977068,1921204,1875022,1852921,1874173,1918974,1971660,2028238,2081433,2108542,2133215,2160605,2199257,2246207,2288325,2321653,2355335,2380402,2384692,2395686,2393815,2385327,2388471,2393751,2395572,2396096,2394185,2381272,2374245,2371739,2374290,2380870,2392996,2418756,2435817,2458398,2485271,2507613,2507145,2502925,2494529,2485069,2466430,2449445,2436072,2418964,2389387,2371167,2343964,2319865,2301930,2294228,2284143,2289577,2295731,2300520,2304457,2308022,2311646,2315628,2320098,2325121,2330854,2337283,2344233,2351523,2358976,2366334,2373131,2378909,2383456,2386724,2388662,2388995,2387460,2384168,2379191,2372633
